City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
kulhudhuffushi,36,MV,1533784171.0,94,6.62,73.07,84.38,17.47
inzhavino,0,RU,1533784171.0,78,52.33,42.5,56.12,8.3
ponta do sol,44,BR,1533784171.0,96,-20.63,-46.0,58.5,3.71
cayenne,0,GF,1533781800.0,94,4.94,-52.33,77.0,1.12
moron,32,VE,1533784172.0,96,10.49,-68.2,68.58,1.92
tasiilaq,64,GL,1533783000.0,93,65.61,-37.64,39.2,8.05
lokosovo,32,RU,1533784172.0,86,61.13,74.84,65.44,4.38
northam,64,GB,1533779400.0,82,51.04,-4.21,55.4,4.7
ara,40,SY,1533783600.0,69,35.71,36.15,78.8,8.05
yerbogachen,12,RU,1533784173.0,59,61.28,108.01,61.52,4.27
ajdabiya,20,LY,1533784173.0,30,30.75,20.22,85.28,10.76
saint-philippe,90,CA,1533783300.0,94,45.36,-73.48,70.27,4.7
ilo,12,PE,1533784174.0,100,-17.65,-71.34,54.05,1.92
paliyad,68,IN,1533784174.0,85,22.26,71.56,78.35,8.41
bara,88,NG,1533784174.0,98,10.41,10.6,71.42,5.5
yellowknife,75,CA,1533780000.0,68,62.45,-114.38,66.2,6.93
piacabucu,88,BR,1533784175.0,77,-10.41,-36.43,74.12,7.63
mareeba,75,AU,1533783600.0,54,-16.99,145.42,78.8,18.34
lorengau,8,PG,1533784175.0,95,-2.02,147.27,84.96,6.17
vila velha,40,BR,1533783600.0,78,-3.71,-38.6,78.8,10.29
nikolskoye,0,RU,1533781800.0,72,59.7,30.79,59.0,4.47
constantine,0,DZ,1533781800.0,93,36.36,6.61,64.4,2.24
la ronge,5,CA,1533780000.0,57,55.1,-105.3,75.2,3.36
petropavlovsk-kamchatskiy,12,RU,1533781800.0,56,53.05,158.65,69.8,4.47
iqaluit,75,CA,1533780000.0,71,63.75,-68.52,50.0,6.93
puerto ayora,0,EC,1533784177.0,100,-0.74,-90.35,70.39,11.88
fort nelson,20,CA,1533780000.0,26,58.81,-122.69,82.4,5.82
itarema,0,BR,1533783953.0,86,-2.92,-39.92,75.83,13.44
evensk,68,RU,1533784177.0,92,61.92,159.24,56.48,0.69
bredasdorp,48,ZA,1533780000.0,93,-34.53,20.04,35.6,1.12
souillac,100,FR,1533783600.0,93,45.6,-0.6,63.59,9.17
bambous virieux,40,MU,1533780000.0,88,-20.34,57.76,64.4,5.82
port alfred,88,ZA,1533784178.0,100,-33.59,26.89,54.27,4.72
salihorsk,0,BY,1533784178.0,84,52.79,27.54,61.07,2.71
talnakh,24,RU,1533784179.0,63,69.49,88.39,56.7,17.25
karratha,0,AU,1533783905.0,24,-20.74,116.85,78.85,7.74
omsukchan,88,RU,1533784179.0,71,62.53,155.8,55.08,3.49
pontes e lacerda,36,BR,1533784179.0,75,-15.23,-59.33,70.66,8.41
barguzin,0,RU,1533784179.0,55,53.62,109.63,62.73,2.59
san carlos de bariloche,0,AR,1533780000.0,69,-41.13,-71.31,35.6,8.05
yar-sale,92,RU,1533784180.0,100,66.83,70.83,48.65,26.31
chokurdakh,0,RU,1533784180.0,76,70.62,147.9,50.18,13.56
tuatapere,88,NZ,1533784180.0,100,-46.13,167.69,51.31,8.41
gat,92,SN,1533784180.0,91,14.69,-16.54,77.72,7.74
cockburn town,0,TC,1533784181.0,100,21.46,-71.14,82.13,15.57
sabha,88,LY,1533784181.0,31,27.03,14.43,82.62,3.71
kawai,75,JP,1533781800.0,66,34.58,135.74,86.47,4.7
whyalla,0,AU,1533783600.0,37,-33.04,137.58,68.0,24.16
saint george,20,GR,1533783000.0,64,39.45,22.34,71.6,5.82
saint-pierre,0,FR,1533783600.0,82,48.95,4.24,66.36,8.05
lompoc,1,US,1533782100.0,42,34.64,-120.46,70.74,8.05
ilulissat,75,GL,1533783000.0,100,69.22,-51.1,37.4,6.93
tuktoyaktuk,90,CA,1533780000.0,93,69.44,-133.03,39.2,9.17
villamontes,80,BO,1533784183.0,56,-21.26,-63.47,50.4,4.05
sicuani,32,PE,1533784183.0,71,-14.27,-71.23,32.5,3.04
coquimbo,0,CL,1533780000.0,93,-29.95,-71.34,50.0,6.93
quthing,100,LS,1533784184.0,100,-30.4,27.7,32.45,1.81
pierre,1,US,1533783180.0,47,44.37,-100.35,75.2,11.41
nabire,92,ID,1533784184.0,88,-3.36,135.5,74.16,2.15
tilichiki,32,RU,1533784184.0,74,60.47,166.1,62.82,3.94
penapolis,92,BR,1533784184.0,99,-21.42,-50.08,64.08,6.06
airai,0,TL,1533784185.0,47,-8.93,125.41,82.26,1.36
sur,32,OM,1533784185.0,98,22.57,59.53,81.64,5.28
bulgan,88,MN,1533784185.0,81,48.81,103.53,64.81,4.16
okha,92,RU,1533784186.0,94,53.59,142.95,59.0,9.19
nanortalik,80,GL,1533784186.0,98,60.14,-45.24,42.31,6.85
atar,20,MR,1533784186.0,72,20.52,-13.05,75.2,2.59
gersthofen,8,DE,1533783000.0,100,48.42,10.88,61.75,4.7
preobrazheniye,24,RU,1533784186.0,68,42.9,133.91,73.85,2.37
sola,0,NO,1533783000.0,93,58.89,5.65,55.4,8.05
tiksi,0,RU,1533784187.0,73,71.64,128.87,60.12,6.06
yuxia,0,CN,1533780000.0,62,34.06,108.63,89.6,6.71
teya,75,MX,1533779220.0,94,21.05,-89.07,75.2,2.24
shahreza,0,IR,1533784188.0,51,32.01,51.87,54.0,2.48
klaksvik,64,FO,1533783000.0,100,62.23,-6.59,50.0,13.87
san patricio,0,PY,1533784188.0,81,-26.98,-56.83,50.67,5.95
baykit,64,RU,1533784188.0,76,61.68,96.39,57.33,3.83
alassio,0,IT,1533779700.0,78,44.0,8.17,77.0,3.38
fukue,40,JP,1533781800.0,70,35.03,136.69,86.0,17.22
san cristobal,40,EC,1533780000.0,87,-0.39,-78.55,50.0,19.46
walvis bay,0,NA,1533784189.0,100,-22.95,14.51,54.5,14.56
kimbe,12,PG,1533784189.0,100,-5.56,150.15,80.33,1.59
carnarvon,0,ZA,1533784190.0,67,-30.97,22.13,29.93,15.79
angoche,0,MZ,1533784190.0,100,-16.23,39.91,74.61,8.63
batemans bay,0,AU,1533784190.0,74,-35.71,150.18,58.55,4.38
chuy,36,UY,1533784190.0,97,-33.69,-53.46,50.9,14.56
palmer,20,AU,1533783600.0,45,-34.85,139.16,64.4,19.46
khatanga,12,RU,1533784191.0,84,71.98,102.47,61.2,11.32
paracuru,40,BR,1533783600.0,78,-3.41,-39.03,78.8,10.29
sorong,56,ID,1533784191.0,100,-0.86,131.25,80.15,3.94
kaitangata,80,NZ,1533784192.0,92,-46.28,169.85,50.27,3.94
mitu,0,IR,1533784192.0,70,36.2,46.09,56.16,1.81
dawlatabad,0,AF,1533784192.0,34,36.41,64.91,79.56,8.97
inirida,64,CO,1533784192.0,98,3.87,-67.92,71.91,2.26
kloulklubed,75,PW,1533779400.0,74,7.04,134.26,86.0,9.17
prainha,0,BR,1533784193.0,74,-1.8,-53.48,81.1,5.17
bubaque,100,GW,1533784193.0,100,11.28,-15.83,76.69,15.79
ullal,75,IN,1533783600.0,88,12.8,74.85,77.0,3.36
oistins,40,BB,1533780000.0,74,13.07,-59.53,80.6,19.46
coihaique,76,CL,1533780000.0,86,-45.58,-72.07,38.16,3.15
bournemouth,92,GB,1533779400.0,93,50.72,-1.88,57.79,3.36
kapaa,40,US,1533779760.0,65,22.08,-159.32,83.39,21.92
mikhaylovka,48,RU,1533784195.0,73,52.96,103.29,67.37,6.73
plettenberg bay,56,ZA,1533784195.0,100,-34.05,23.37,52.3,1.7
georgetown,40,GY,1533780000.0,94,6.8,-58.16,77.0,4.7
kavieng,48,PG,1533784196.0,100,-2.57,150.8,83.07,3.6
hithadhoo,8,MV,1533784196.0,100,-0.6,73.08,82.58,4.16
chunskiy,36,RU,1533784196.0,68,56.08,99.63,68.85,3.38
vao,0,EE,1533784197.0,80,59.1,26.19,62.33,6.4
pittsfield,1,US,1533782100.0,88,39.61,-90.81,73.22,2.93
remontnoye,32,RU,1533781800.0,56,46.56,43.66,68.0,13.42
madras,1,US,1533783300.0,24,44.63,-121.13,95.14,13.87
rio grande,48,BR,1533784036.0,98,-32.03,-52.1,52.83,17.02
berlevag,0,NO,1533783000.0,87,70.86,29.09,44.6,3.36
ribeira grande,24,PT,1533784198.0,100,38.52,-28.7,74.3,6.62
omboue,68,GA,1533784198.0,100,-1.57,9.26,72.32,10.42
solnechnyy,0,RU,1533784198.0,70,50.72,136.64,77.5,3.6
sept-iles,75,CA,1533780000.0,87,50.2,-66.38,59.0,2.24
puerto colombia,40,CO,1533780000.0,83,10.99,-74.96,82.4,5.82
aklavik,90,CA,1533780000.0,75,68.22,-135.01,44.6,9.17
half moon bay,90,US,1533782400.0,93,37.46,-122.43,71.15,8.05
kavaratti,92,IN,1533784199.0,96,10.57,72.64,82.54,20.94
longyearbyen,75,NO,1533783000.0,87,78.22,15.63,42.8,11.41
ancud,32,CL,1533784199.0,84,-41.87,-73.83,40.41,4.83
nelas,8,PT,1533784138.0,93,40.53,-7.86,52.11,2.15
adrar,56,DZ,1533780000.0,18,27.87,-0.29,91.4,6.93
hamilton,20,BM,1533779700.0,74,32.3,-64.78,80.6,2.24
nova olimpia,76,BR,1533784201.0,82,-14.8,-57.29,76.06,8.19
henties bay,0,NA,1533784201.0,100,-22.12,14.28,50.05,8.75
birjand,0,IR,1533780000.0,33,32.86,59.22,62.6,6.93
aripuana,12,BR,1533784042.0,71,-9.17,-60.63,81.95,1.59
torbay,90,CA,1533780000.0,93,47.66,-52.73,66.2,18.34
saint-gaudens,90,FR,1533783600.0,100,43.11,0.72,66.2,16.11
lavrentiya,80,RU,1533784202.0,100,65.58,-170.99,44.65,10.98
mana,0,RS,1533781800.0,100,43.52,20.24,64.4,2.24
itaituba,24,BR,1533784202.0,62,-4.26,-55.99,80.6,3.49
finschhafen,24,PG,1533784203.0,80,-6.6,147.85,78.66,3.83
phetchabun,75,TH,1533780000.0,94,16.42,101.16,78.8,2.24
klyuchi,0,RU,1533784203.0,59,52.25,79.17,72.45,4.61
port-cartier,75,CA,1533780000.0,87,50.03,-66.88,59.0,2.24
kirakira,92,SB,1533784203.0,100,-10.46,161.92,77.05,8.41
balkanabat,76,TM,1533784204.0,28,39.51,54.36,82.08,3.94
zhigansk,44,RU,1533784204.0,44,66.77,123.37,72.23,3.15
baikunthpur,44,IN,1533784204.0,96,23.26,82.56,78.04,6.73
inhuma,0,BR,1533784205.0,31,-6.67,-41.71,80.82,11.1
parakan,12,ID,1533784205.0,66,-7.45,109.59,79.47,3.38
moose factory,90,CA,1533782520.0,93,51.26,-80.61,66.2,9.17
fairbanks,90,US,1533779880.0,38,64.84,-147.72,61.43,5.82
ardakan,0,IR,1533781800.0,20,32.31,54.02,77.0,2.24
tadine,24,NC,1533784206.0,94,-21.55,167.88,71.78,14.12
lagoa,0,PT,1533781800.0,73,37.14,-8.45,69.8,13.87
novo aripuana,44,BR,1533784207.0,81,-5.12,-60.38,77.45,1.92
geraldton,40,CA,1533780000.0,93,49.72,-86.95,60.8,2.24
sunrise manor,1,US,1533783360.0,13,36.21,-115.07,97.72,11.41
riyadh,64,SA,1533780000.0,24,24.63,46.72,87.8,9.17
beeville,1,US,1533783300.0,83,28.4,-97.75,79.83,9.17
sitka,0,US,1533784208.0,90,37.17,-99.65,69.17,4.16
bambanglipuro,76,ID,1533784208.0,68,-7.95,110.28,80.87,4.94
cuamba,0,MZ,1533784208.0,65,-14.8,36.54,52.02,2.37
phalombe,0,MW,1533784208.0,71,-15.81,35.65,51.08,3.6
nishihara,75,JP,1533781800.0,83,35.74,139.53,82.38,12.75
pajusti,0,EE,1533784209.0,80,59.28,26.41,62.33,6.4
halifax,90,CA,1533780000.0,100,44.65,-63.58,67.35,4.7
nazca,12,PE,1533784209.0,94,-14.83,-74.94,55.9,2.26
sadovoye,0,RU,1533784209.0,51,47.78,44.52,68.31,16.35
belmonte,0,PT,1533784210.0,84,40.36,-7.35,55.35,7.63
salalah,90,OM,1533779400.0,100,17.01,54.1,77.0,3.36
suntar,92,RU,1533784210.0,78,62.16,117.65,58.1,7.07
balakliya,0,UA,1533781800.0,67,49.46,36.86,59.0,6.71
butaritari,56,KI,1533784211.0,100,3.07,172.79,84.38,8.63
tagusao,8,PH,1533784211.0,78,9.19,117.81,85.55,14.23
batagay-alyta,0,RU,1533784211.0,54,67.8,130.41,65.93,4.05
sterling,40,US,1533783360.0,78,39.0,-77.4,77.72,8.05
sinnamary,0,GF,1533784212.0,97,5.38,-52.96,81.05,13.78
alofi,20,NU,1533780000.0,60,-19.06,-169.92,75.2,8.05
sarkand,0,KZ,1533784212.0,31,45.41,79.91,87.48,3.38
bathsheba,40,BB,1533780000.0,74,13.22,-59.52,80.6,19.46
mushie,56,CD,1533784212.0,87,-3.02,16.92,74.07,2.48
port blair,76,IN,1533784213.0,100,11.67,92.75,78.94,18.81
tual,32,ID,1533784213.0,95,-5.67,132.75,80.87,12.1
humaita,0,AR,1533780000.0,61,-24.93,-65.37,50.74,4.7
hermon,88,GB,1533779400.0,93,51.96,-4.61,48.2,4.7
truth or consequences,1,US,1533783180.0,32,33.13,-107.25,80.6,13.87
pevek,0,RU,1533784214.0,100,69.7,170.27,41.72,7.85
tanda,44,IN,1533784214.0,90,31.67,75.63,84.47,4.38
naze,75,NG,1533780000.0,94,5.43,7.07,75.2,4.83
ola,75,RU,1533781800.0,60,59.58,151.3,68.0,6.71
pahrump,1,US,1533783180.0,18,36.21,-115.98,98.02,13.87
mahebourg,40,MU,1533780000.0,88,-20.41,57.7,64.4,5.82
yumen,0,CN,1533784215.0,35,40.29,97.04,82.18,4.5
petropolis,20,BR,1533780000.0,93,-22.5,-43.18,68.04,4.7
safonovo,8,RU,1533784215.0,83,55.11,33.24,51.94,2.82
sanda,75,JP,1533781800.0,66,34.89,135.23,86.45,4.7
tarrafal,40,CV,1533780000.0,78,15.28,-23.77,77.0,6.93
pouebo,64,NC,1533783939.0,71,-20.4,164.57,74.97,6.06
eirunepe,12,BR,1533784216.0,94,-6.66,-69.87,74.03,0.02
acapulco,75,MX,1533779220.0,74,16.86,-99.88,84.2,4.61
inuvik,90,CA,1533780000.0,75,68.36,-133.71,44.6,9.17
porto novo,0,BR,1533783600.0,88,-23.68,-45.44,64.4,2.24
kilindoni,0,TZ,1533784217.0,100,-7.91,39.67,74.89,9.98
bristol,92,GB,1533783360.0,93,51.45,-2.6,56.34,4.7
sfantu gheorghe,0,RO,1533781800.0,93,44.65,26.83,67.1,3.36
lovozero,64,RU,1533784218.0,74,68.01,35.02,51.76,4.16
malmyzh,92,RU,1533784218.0,92,56.52,50.68,53.6,15.79
arraial do cabo,0,BR,1533784219.0,98,-22.97,-42.02,69.8,20.49
oksfjord,88,NO,1533783000.0,87,70.24,22.35,47.26,3.36
hasaki,90,JP,1533782760.0,88,35.73,140.83,77.92,19.46
bay roberts,90,CA,1533780000.0,93,47.58,-53.28,66.2,18.34
villa carlos paz,0,AR,1533780000.0,35,-31.42,-64.5,42.8,5.82
saldanha,0,PT,1533784219.0,74,41.42,-6.55,55.67,5.17
keti bandar,92,PK,1533784220.0,97,24.14,67.45,80.19,8.63
iberia,0,PE,1533784220.0,91,-11.41,-69.49,71.78,2.15
killybegs,76,IE,1533784136.0,100,54.63,-8.45,53.19,12.44
verkhnetulomskiy,0,RU,1533781800.0,93,68.61,31.8,46.4,4.94
wamba,0,CD,1533784220.0,94,2.14,27.99,65.97,2.15
provideniya,90,RU,1533781800.0,81,64.42,-173.23,48.2,6.71
timmins,75,CA,1533780000.0,77,48.48,-81.33,66.2,4.7
margherita,75,IN,1533781800.0,83,27.29,95.67,84.2,2.37
kopavogur,75,IS,1533781800.0,87,64.11,-21.91,47.34,19.46
dancalan,88,PH,1533784222.0,85,12.91,123.59,83.07,16.24
surab,0,PK,1533784222.0,60,28.49,66.26,75.25,3.94
vallenar,0,CL,1533784222.0,59,-28.58,-70.76,47.61,4.05
sao filipe,92,CV,1533784222.0,100,14.9,-24.5,75.38,3.38
coos bay,90,US,1533783360.0,93,43.37,-124.22,57.97,4.7
okato,0,NZ,1533784223.0,94,-39.19,173.88,55.81,17.13
abilene,40,US,1533783360.0,54,32.45,-99.73,85.5,11.41
aykino,0,RU,1533784223.0,84,62.22,49.99,51.31,4.72
opuwo,0,NA,1533784223.0,80,-18.06,13.84,45.9,2.82
ventspils,0,LV,1533783000.0,72,57.39,21.56,66.2,5.82
verkhnevilyuysk,92,RU,1533784224.0,71,63.45,120.31,65.44,3.94
hambantota,24,LK,1533784090.0,94,6.12,81.12,80.19,15.23
aksha,0,RU,1533784224.0,81,50.28,113.29,67.06,7.63
lucea,20,JM,1533780000.0,52,18.44,-78.17,87.8,12.75
olavarria,0,AR,1533784225.0,92,-36.89,-60.32,39.51,13.0
porto nacional,68,BR,1533784225.0,51,-10.7,-48.41,83.25,2.59
sorland,88,NO,1533784225.0,97,67.67,12.69,59.22,2.37
veinticinco de mayo,8,AR,1533784225.0,91,-27.38,-54.75,48.06,8.41
isangel,8,VU,1533784226.0,100,-19.55,169.27,72.91,13.44
griffith,8,AU,1533784226.0,82,-34.29,146.06,58.5,5.84
vanimo,24,PG,1533784226.0,100,-2.67,141.3,83.3,11.99
russell,0,AR,1533780000.0,65,-33.01,-68.8,41.0,3.27
laguna,90,MX,1533780360.0,88,27.52,-110.01,75.2,13.87
waitati,68,NZ,1533784227.0,95,-45.75,170.57,48.33,3.71
buraydah,0,SA,1533780000.0,35,26.33,43.97,86.0,6.93
balikpapan,40,ID,1533781800.0,79,-1.24,116.86,84.2,5.82
esperance,0,TT,1533780000.0,83,10.24,-61.45,78.8,5.17
taunggyi,48,MM,1533784228.0,94,20.78,97.03,72.36,2.71
constitucion,75,MX,1533779220.0,64,23.99,-104.67,68.0,6.93
zaokskiy,0,RU,1533784229.0,83,54.73,37.4,51.21,3.94
rundu,0,NA,1533784229.0,25,-17.91,19.77,58.95,8.08
nouadhibou,75,MR,1533780000.0,88,20.93,-17.03,69.8,3.36
durham,0,GB,1533783000.0,93,54.78,-1.58,47.71,2.24
hope,1,CA,1533783600.0,42,49.38,-121.43,86.0,5.82
alice springs,0,AU,1533783600.0,14,-23.7,133.88,71.6,8.05
husavik,0,CA,1533784230.0,76,50.56,-96.99,68.5,6.51
thompson,75,CA,1533780000.0,82,55.74,-97.86,64.4,2.82
karakol,32,KG,1533784124.0,53,42.49,78.39,64.98,2.37
yakeshi,48,CN,1533784231.0,93,49.28,120.73,69.21,8.41
namibe,64,AO,1533784231.0,100,-15.19,12.15,65.12,7.74
ahuimanu,75,US,1533780480.0,65,21.44,-157.84,84.27,11.41
kijang,40,KR,1533780000.0,55,35.24,129.21,89.6,5.82
cherskiy,0,RU,1533784232.0,61,68.75,161.3,52.93,4.94
kotli loharan,40,PK,1533780000.0,79,32.59,74.49,84.2,3.27
redmond,1,US,1533783480.0,28,47.67,-122.12,85.6,4.7
comodoro rivadavia,0,AR,1533780000.0,57,-45.87,-67.48,50.0,13.87
crossville,1,US,1533783300.0,94,35.95,-85.03,69.84,3.36
eyl,8,SO,1533784233.0,76,7.98,49.82,79.52,23.85
fortuna,20,ES,1533783600.0,88,38.18,-1.13,77.9,3.36
altay,0,CN,1533784233.0,59,47.83,88.13,65.52,3.15
ejido,40,VE,1533780000.0,77,8.55,-71.24,64.4,1.7
srednekolymsk,0,RU,1533784234.0,60,67.46,153.71,55.54,4.72
panaba,56,MX,1533784234.0,74,21.28,-88.27,80.78,7.74
batyrevo,32,RU,1533784234.0,71,55.07,47.6,54.91,11.65
okhotsk,0,RU,1533784234.0,78,59.36,143.24,66.43,4.05
plaeng yao,20,TH,1533781800.0,58,13.58,101.28,86.0,6.93
kharar,0,IN,1533784235.0,87,30.75,76.65,84.38,4.16
dingle,92,PH,1533784235.0,97,11.0,122.67,77.41,10.76
luangwa,0,MZ,1533784235.0,53,-15.62,30.4,69.35,12.21
namatanai,24,PG,1533784236.0,97,-3.66,152.44,83.44,6.62
trinidad,100,UY,1533784236.0,96,-33.52,-56.9,49.24,18.48
kysyl-syr,92,RU,1533784236.0,63,63.9,122.77,68.05,3.6
ambon,100,FR,1533783600.0,87,47.55,-2.56,59.0,10.29
red bluff,1,US,1533779640.0,24,40.18,-122.24,92.5,6.93
zhezkazgan,0,KZ,1533781800.0,36,47.8,67.71,78.8,4.47
beringovskiy,68,RU,1533784237.0,89,63.05,179.32,53.82,11.1
boli,88,CN,1533784237.0,92,45.76,130.56,69.4,3.49
north battleford,1,CA,1533780000.0,56,52.78,-108.3,73.4,3.36
harper,1,US,1533783300.0,48,30.3,-99.24,86.07,10.65
lagos,20,NG,1533780000.0,94,6.46,3.39,75.2,2.24
arlit,0,NE,1533784238.0,69,18.74,7.39,79.39,5.73
tonantins,24,BR,1533784239.0,96,-2.86,-67.77,74.89,2.04
astaneh-ye ashrafiyeh,75,IR,1533781800.0,88,37.26,49.94,80.6,2.93
eureka,75,US,1533782100.0,100,40.8,-124.16,54.45,13.87
krasnyy yar,0,RU,1533784239.0,74,50.7,44.73,57.83,9.98
bogorodskoye,44,RU,1533784240.0,69,52.37,140.44,69.4,4.27
pacific grove,20,US,1533782520.0,87,36.62,-121.92,60.89,11.41
pavlovka,0,RU,1533784240.0,76,52.69,47.13,52.47,11.99
badarpur,92,IN,1533784240.0,100,24.87,92.56,76.86,3.83
fivizzano,0,IT,1533782700.0,94,44.24,10.13,69.8,5.82
touros,92,BR,1533784109.0,99,-5.2,-35.46,73.54,9.86
wladyslawowo,0,PL,1533783600.0,68,54.79,18.4,68.0,9.17
ekhabi,92,RU,1533784241.0,94,53.51,142.97,59.0,9.19
shubarkuduk,76,KZ,1533784241.0,91,49.15,56.49,66.6,7.4
anchorage,90,US,1533780660.0,77,61.22,-149.89,59.23,6.93
basoko,48,CD,1533784242.0,100,1.23,23.61,70.25,1.36
khorixas,0,NA,1533784242.0,86,-20.37,14.96,39.2,2.93
college,90,US,1533783480.0,41,64.86,-147.8,60.8,4.7
longonjo,24,AO,1533784243.0,89,-12.91,15.25,44.65,1.92
yulara,0,AU,1533783600.0,12,-25.24,130.99,73.4,11.41
vila franca do campo,40,PT,1533783600.0,77,37.72,-25.43,68.0,3.36
poselki,0,RU,1533784243.0,75,53.13,46.5,51.98,10.31
